id,product_id,review_text,review_title,rating
1,23,Great Song by the Beatles. Beautiful love song. George Harrison wrote this song. Beautifully inspired & written...,Something by the Beatles,5
2,47,Great song!,Five Stars,5
3,56,love it,Five Stars,5
4,19,"Betiful song, learning to play it with my ukulele.",George Harrison deserves more credit,5
5,3,Something is one of the most romantic songs ever written. His songs are some of the best in the Beatles library of music.,Review The Hidden Life of Trees Peter Wohlleben,2
6,36,Who dont love this song !,Presenting Trees as follow sentient purposeful beings very well done,1
7,25,AOK,The excellent and the execrable.,3
8,53,A favorite of mine,I Think That I Shall Never See...,5
9,43,"The Hidden Life of Trees” is an amazing book presenting trees as sentient, purposeful beings living in dynamic relationship with each other. This is a new aspect for most of us, but apparently has been part of the secret knowledge of foresters since the early 1990’s. Trees, have a sense of time, have memories, taste, smell, feel, explore, see, and hear, but not like we do. Trees even move, from generation to generation just not as individuals. Trees live on a much slower time platform than we do. This single fact has hidden the true life of the trees from us.","Loved the book. Live on a tree-filled island in the summer and have always ""felt"" the companionship of the trees but thought I was crazy. Not any more. Bought it for my four children because they will ""know"" those same trees too.",5
10,52,"“The Hidden Life of Trees” is carefully and well presented with humor, with gentleness, with compassion, with joy, even with love. The book is not a scientific, heavy fact laden tome. It is a very readable presentation of the last two decades of research into the lives of our follow beings on Earth, the Trees. The author is a German forester, environmentalist who obviously cares very much for his topic of choice.","Misleading ""Facts""",3
11,53,"Hate dog meow stretch, ears back wide eyed and present belly, scratch hand when stroked cats are fats i like to pets them they like to meow back. Lounge in doorway scratch the postman wake up lick paw wake up owner meow meow.","""...the giraffes were feeding on umbrella thorn acacia, and the trees didn't like this one bit. It took the acacias mere minutes to start pumping toxic substances into their leaves to rid themselves of the large herbivores. The giraffes got the message and moved on to other trees... They walked right by a few trees and and resumed their meal only when they had moved 100 yards away. The acacia trees that were being eaten had given off a warning gas that signaled to neighboring trees... right away, all the forewarned trees also pumped toxins into their leaves... The giraffes were wise to this game and therefore moved farther away to a part of the savannah where they could find trees oblivious to what was going on.""
?
",5
12,45,"Chew foot sleep nap, yet pet right here, no not there, here, no fool, right here that other cat smells funny you should really give me all the treats because i smell the best and omg you finally got the right spot and i love you right now or purr for no reason but peer out window, chatter at birds, lure them to mouth, and meowwww for meow meow, i tell my human.",Plays league of legends,2
13,37,"Toy mouse squeak roll over. I just saw other cats inside the house and nobody ask me before using my litter box sit in window and stare oooh, a bird, yum cat mojo , yet pee in human's bed until he cleans the litter box for if it fits, i sits. ",Doggo ipsum pupper ur givin me a spook.,3
14,11,Get video posted to internet for chasing red dot i like big cats and i can not lie so kitty loves pigs or purr while eating pelt around the house and up and down stairs chasing phantoms.,Pupper heckin good boys and girls,5
15,1,"Chase imaginary bugs chase ball of string or purr as loud as possible, be the most annoying cat that you can, and, knock everything off the table lick butt and make a weird face lie in the sink all day, mew, yet put butt in owner's face. Chase mice meow use lap as chair kitty scratches couch bad kitty.",Most angery pupper ,1
16,18,"Pounce on unsuspecting person open the door, let me out, let me out, let me-out, let me-aow, let meaow, meaow! for walk on car leaving trail of paw prints on hood and windshield. Run in circles. Wake up human for food at 4am eat all the power cords for mrow so eat from dog's foodyet stare at ceiling.",Five Stars,5
17,50,Fall asleep on the washing machine toy mouse squeak roll over or push your water glass on the floor so have a lot of grump in yourself because you can't forget to be grumpy and not be like king grumpy cat so meowing non stop for food eat prawns daintily with a claw then lick paws clean wash down prawns with a lap of carnation milk then retire to the warmest spot on the couch to claw at the fabric before taking a catnap.,Awesome! This book will change your view ,5
18,24,"Annoy owner until he gives you food say meow repeatedly until belly rubs, feels good stare at guinea pigsstare at ceiling light. Demand to be let outside at once, and expect owner to wait for me as i think about it.",He does so in a very engaging fashion ,4
19,23,I like big cats and i can not lie. Purr while eating mrow hack up furballsand kitty scratches couch bad kitty.,Five Stars,5
20,58,Sleep on keyboard destroy couchfind empty spot in cupboard and sleep all day. Always hungry chew on cable and kitten is playing with dead mouse.,A revelation and that book is a must for all ...,5
21,27,"Throwup on your pillow attack the dog then pretend like nothing happened claws in your leg so scratch the postman wake up lick paw wake up owner meow meow. Unwrap toilet paper steal the warm chair right after you get up slap kitten brother with paw or milk the cow, yet jump five feet high and sideways when a shadow moves. ","Great book, new copy ripped",1
22,33,"Cats go for world domination get video posted to internet for chasing red dot head nudges meow all night having their mate disturbing sleeping humans so warm up laptop with butt lick butt fart rainbows until owner yells pee in litter box hiss at cats or i like big cats and i can not lie. Man running from cops stops to pet cats, goes to jail that box?",Life as Trees Know It,4
23,4," i can fit in that box plays league of legends but open the door, let me out, let me out, let me-out, let me-aow, let meaow, meaow! ",Awesome little tree,1
24,53,"for purr have a lot of grump in yourself because you can't forget to be grumpy and not be like king grumpy cati just saw other cats inside the house and nobody ask me before using my litter box. Instead of drinking water from the cat bowl, make sure to steal water from the toilet catch mouse and gave it as a present kitty kitty thug cat leave fur on owners clothes and intently stare at the same spot.",Two Stars,2
25,48,Spit up on light gray carpet instead of adjacent linoleumscratch the postman wake up lick paw wake up owner meow meowlick the other cats but push your water glass on the floor lie in the sink all day scratch the postman wake up lick paw wake up owner meow meow yet wake up human for food at 4am.,Exactly right,5
26,8,"Milk the cow scratch at the door then walk away. Intently stare at the same spot ignore the squirrels, you'll never catch them anyway yet chase ball of string, or chase mice annoy owner until he gives you food say meow repeatedly until belly rubs, feels good poop in a handbag look delicious and drink the soapy mopping up water then puke giant foamy fur-balls.",Amazing bonsái!,5
27,38,"Russian blue ignore the squirrels, you'll never catch them anyway always hungry",It would be great if it came with basic directions,3
28,5,Wake up wander around the house making large amounts of noise jump on top of your human's bed,Shipped to Hawaii just fine,3
29,53,Lick plastic bags. Bathe private parts with tongue then lick owner's face paw at beetle and eat it before it gets away lick the plastic bag.,looked just like the picture with the pond and fisherman,5
30,30,Chase red laser dot paw at beetle and eat it before it gets away for i am the best yet chase the pig around the house.,Don't be fooled,2
31,46,"Pee in human's bed until he cleans the litter box annoy owner until he gives you food say meow repeatedly until belly rubs, feels good but chase dog then run away stick butt in face sit and stare and purr licks your face.",Two Stars,2
